customer_id,customer_name,email,country,segment,signup_date,order_count,first_order_date,last_order_date,has_orders,signup_to_first_order_days,signup_order_date_status
300001,Jason Walker,harnold@example.org,Mexico,Corporate,29-10-2020,6,12-12-2020,16-01-2025,TRUE,44,Valid
300002,Heather Leon,pgutierrez@example.net,Australia,Online,11-12-2024,1,17-07-2025,17-07-2025,TRUE,218,Valid
300003,Todd Casey,joseph44@example.com,Germany,Wholesale,02-08-2024,0,,,FALSE,,Cannot Determine
300004,Terry Johnson,hernandeznicholas@example.net,Australia,,01-12-2024,4,28-08-2024,06-04-2026,TRUE,-95,First Order Before Signup
300005,Frances Haley,zallen@example.org,United Kingdom,Corporate,06-10-2024,2,01-02-2025,14-04-2025,TRUE,118,Valid
300006,Anthony Frederick,oanderson@example.com,Germany,Online,30-09-2023,3,22-03-2024,13-07-2026,TRUE,174,Valid
300007,Tanner Holmes,thall@example.org,France,Wholesale,20-07-2025,6,22-08-2025,29-04-2026,TRUE,33,Valid
300008,Rachel Cameron,mary25@example.org,Japan,Corporate,09-03-2023,3,10-10-2023,27-07-2025,TRUE,215,Valid
300009,Adam Carrillo,anthonyzimmerman@example.org,United States,Corporate,17-02-2021,0,,,FALSE,,Cannot Determine
300010,Nicholas Lucero,jacob34@example.org,Brazil,Corporate,11-07-2023,3,16-12-2023,09-11-2025,TRUE,158,Valid
300011,Richard Hartman,donna41@example.org,Japan,Online,05-05-2023,4,15-02-2025,20-04-2026,TRUE,652,Valid
300012,Lauren Garcia,hho@example.org,Mexico,Wholesale,20-10-2023,1,01-07-2024,01-07-2024,TRUE,255,Valid
300013,Christopher Jones,roberta36@example.org,Brazil,Online,16-05-2021,4,14-06-2021,09-01-2024,TRUE,29,Valid
300014,Benjamin Chung,clarkrobert@example.com,Germany,Retail,13-02-2023,6,08-10-2023,12-04-2026,TRUE,237,Valid
300015,Christopher Evans,donnawelch@example.org,Vietnam,Corporate,31-10-2023,2,22-01-2024,02-01-2025,TRUE,83,Valid
