customer_id,customer_name,email,country,segment,signup_date
300001,Jason Walker,harnold@example.org,Mexico,Corporate,2020-10-29
300002,Heather Leon,pgutierrez@example.net,Australia,Online,2024-12-11
300003,Todd Casey,joseph44@example.com,Germany,Wholesale,2024-08-02
300004,Terry Johnson,hernandeznicholas@example.net,Australia,,2024-12-01
300005,Frances Haley,zallen@example.org,United Kingdom,Corporate,2024-10-06
300006,Anthony Frederick,oanderson@example.com,Germany,Online,2023-09-30
300007,Tanner Holmes,thall@example.org,France,Wholesale,2025-07-20
300008,Rachel Cameron,mary25@example.org,Japan,Corporate,2023-03-09
300009,Adam Carrillo,anthonyzimmerman@example.org,United States,Corporate,2021-02-17
300010,Nicholas Lucero,jacob34@example.org,Brazil,Corporate,2023-07-11
300011,Richard Hartman,donna41@example.org,Japan,Online,2023-05-05
300012,Lauren Garcia,hho@example.org,Mexico,Wholesale,2023-10-20
300013,Christopher Jones,roberta36@example.org,Brazil,Online,2021-05-16
300014,Benjamin Chung,clarkrobert@example.com,Germany,Retail,2023-02-13
300015,Christopher Evans,donnawelch@example.org,Vietnam,Corporate,2023-10-31
300016,Gregory Cooley,,Australia,Corporate,2021-04-02
300017,Alexander Hunt,javierdiaz@example.org,France,,2021-08-18
300018,Bradley Holt,josepholson@example.org,Brazil,Online,2020-10-23
300019,Elizabeth Mcgee,zgraham@example.org,Australia,Wholesale,2022-05-29
300020,Ryan Love,ygarcia@example.net,Brazil,,2021-11-30
300021,Tiffany Freeman,vhenderson@example.com,India,Online,2022-03-22
300022,Lisa Patterson,nathaniel17@example.org,China,Corporate,2024-09-28
300023,Dawn Ortiz,raymond12@example.com,Germany,Retail,2025-02-10
300024,David Lewis,nathan51@example.org,United States,Wholesale,2022-10-24
300025,Gary Marshall,rachel81@example.com,France,Wholesale,2022-04-04
300026,Daniel Hoffman,berrydebbie@example.net,United Kingdom,Wholesale,2022-01-30
300027,Francisco Gonzalez,rjimenez@example.com,Canada,Wholesale,2024-06-11
300028,Kyle Garza,barbaramitchell@example.net,United States,Online,2021-04-05
300029,Abigail Murray,,Canada,Corporate,2024-07-31
300030,Matthew Jones,gallegosrobert@example.com,India,Online,2025-04-03
300031,Jennifer Hawkins,troy06@example.com,Mexico,Wholesale,2022-01-14
300032,Samuel Coffey,cameronsharon@example.org,France,Online,2024-02-23
300033,Adam Garcia,michelle63@example.org,Vietnam,Corporate,2020-10-23
300034,Robin Cabrera,villamiranda@example.com,Vietnam,Online,2021-02-07
300035,Anthony Torres,mark96@example.com,Mexico,Online,2025-01-29
300036,Lauren Wilson,michelle96@example.net,Canada,Wholesale,2024-02-27
300037,Joseph Lane,ubray@example.net,Australia,Online,2022-11-24
300038,Ralph Dawson,angelica33@example.net,China,Online,2023-01-29
300039,Amy Smith,taylorcruz@example.com,Germany,Wholesale,2021-01-20
300040,Kevin Rose,kathleen47@example.net,Mexico,Online,2021-03-09
300041,Suzanne Robinson,paul79@example.net,Germany,Corporate,2021-06-08
300042,Barry Henderson,stephanie91@example.org,Germany,Retail,2021-09-05
300043,Brian Smith,blopez@example.com,Vietnam,Online,2022-12-20
300044,Derek Mcintosh,gomezjason@example.com,France,Corporate,2023-12-22
300045,Amy Nelson,williamspatrick@example.com,Canada,Retail,2023-03-05
300046,Christopher Hill,gstone@example.net,Japan,,2021-08-20
300047,Brian Wilson,johnstonjohn@example.net,Canada,Retail,2020-11-30
300048,Manuel Baldwin,,Canada,Online,2021-03-03
300049,Kathleen Jackson,michaelroberts@example.net,Australia,Online,2024-10-13
300050,Cody Velez,,Canada,Corporate,2022-02-07
300051,Carol Cook,athomas@example.net,Canada,,2021-07-07
300052,Christopher Baker,jacksonkathleen@example.org,Australia,Wholesale,2023-01-14
300053,Lauren Freeman,thomaswilliams@example.org,Vietnam,Online,2023-08-20
300054,Sara Fox MD,kimberlygarcia@example.net,France,Wholesale,2023-02-07
300055,Gregory Gardner DDS,,India,Wholesale,2022-05-05
300056,Patricia Vincent,rrodriguez@example.net,Germany,Retail,2024-03-19
300057,William Chase,michaeljohnson@example.net,United Kingdom,Corporate,2024-04-21
300058,Heather Garner,samanthagray@example.org,Brazil,Online,2024-05-15
300059,Meghan Nolan,harcher@example.org,China,Online,2025-06-28
300060,Stacy Myers,rlandry@example.com,India,Online,2021-12-28
300061,Mia Flowers,hamiltonspencer@example.com,Germany,Online,2021-08-13
300062,Kathryn Jennings,hbecker@example.com,Japan,Corporate,2022-08-02
300063,Elizabeth Roberts,alexis03@example.com,China,Wholesale,2023-10-14
300064,John Smith,donna00@example.com,Germany,Wholesale,2024-10-16
300065,Rachel Shaw,stephaniereeves@example.org,Canada,Corporate,2021-05-09
300066,Kevin Miller,antoniofitzpatrick@example.org,United Kingdom,Retail,2025-08-23
300067,Jenny Rasmussen,orozcosamantha@example.net,United States,Wholesale,2024-09-21
300068,Meghan Morris,feliciagonzalez@example.org,Brazil,Retail,2022-03-21
300069,Eric Evans,ygardner@example.com,Japan,Corporate,2022-09-30
300070,Melissa Gordon,taylor67@example.com,Germany,Online,2021-02-22
300071,Thomas Johnson,idavis@example.net,United Kingdom,Retail,2025-06-21
300072,Lauren Watson,brian62@example.com,United Kingdom,Wholesale,2025-03-13
300073,Phillip Holmes,,India,Online,2024-01-06
300074,Samantha Cunningham,michelle19@example.net,Mexico,Retail,2021-03-14
300075,Meredith Black,rtaylor@example.net,United States,,2023-03-21
300076,Eric Hays,shaffercindy@example.org,Germany,Corporate,2024-04-12
300077,Larry Martinez,wrightdale@example.org,Canada,,2021-03-28
300078,Anthony Martinez,lwebb@example.org,Japan,Online,2024-10-29
300079,Samantha Maldonado,reynoldsdaisy@example.org,Germany,,2024-11-14
300080,Cynthia Hunt,thomasroberts@example.net,Mexico,Corporate,2021-05-16
300081,Holly Hill,gwolfe@example.com,China,Corporate,2021-03-01
300082,Alfred Bryant,tsmith@example.org,China,Wholesale,2022-10-01
300083,Lisa Williams,sydney77@example.com,India,Retail,2023-11-21
300084,Jonathan Callahan,michaelmccarthy@example.com,Mexico,,2020-09-16
300085,Christian Rios,stephen24@example.net,Australia,Corporate,2023-03-25
300086,Thomas Brewer,mestes@example.net,Vietnam,Online,2022-03-07
300087,Katie Hopkins,david59@example.net,Japan,Online,2021-07-26
300088,Jennifer Williams,jesseortega@example.com,United States,Corporate,2022-05-28
300089,Peter Zavala,danielgilmore@example.net,Mexico,Corporate,2025-02-05
300090,Jennifer Brown,danny17@example.com,Mexico,Online,2025-02-15
300091,Tammy Morris,ogray@example.net,Mexico,Wholesale,2023-09-12
300092,John Shelton,jamesmartin@example.net,Japan,Online,2023-06-13
300093,Kevin Soto,harrislisa@example.org,Australia,Online,2024-09-15
300094,Joshua Jones,faithrosario@example.net,France,,2022-06-18
300095,Ronnie Hudson MD,michael82@example.org,Australia,Retail,2023-11-16
300096,Shelly Carroll,kimberlyevans@example.org,Brazil,Online,2022-11-10
300097,Joshua Johnson,sandra46@example.net,Australia,Wholesale,2023-02-27
300098,Brooke Roberts,melissafrederick@example.net,United States,Online,2022-06-15
300099,Kimberly Snow,qgiles@example.net,United States,Retail,2022-03-24
300100,Dean Cook,tayloramy@example.net,Japan,Wholesale,2020-10-24
300101,Susan Brown,kjones@example.net,Germany,Retail,2022-04-24
300102,Amanda Zavala,ngeorge@example.org,Australia,Online,2024-03-06
300103,Carl Cummings,,Japan,Retail,2025-02-06
300104,Richard Walter,andrewbrown@example.org,China,Corporate,2022-01-06
300105,Melanie Rojas,xwilliams@example.com,Vietnam,,2023-05-03
300106,Jeffery Taylor,nwilson@example.com,Vietnam,Retail,2024-02-21
300107,Thomas Allen,chapmanjeremy@example.net,France,Online,2022-06-04
300108,Kimberly Williams,,France,,2024-06-05
300109,Christopher Williams,carrie34@example.org,United States,Online,2021-01-17
300110,Bryan Jones,shawna37@example.net,France,Wholesale,2023-09-11
300111,Thomas Robinson,shelly84@example.net,China,Retail,2024-05-04
300112,Emma Weaver,brownrachel@example.net,United States,,2021-11-19
300113,Mr. Thomas Skinner,kevintran@example.org,China,Retail,2025-06-01
300114,Brenda Spence,dsantos@example.org,Canada,Corporate,2022-07-11
300115,Debra Chapman,margaret10@example.com,Australia,Retail,2020-10-08
300116,Albert Reyes,nwilliams@example.com,India,Online,2024-12-08
300117,Anthony Torres,sharon95@example.com,Australia,Retail,2021-08-02
