warehouse_id,warehouse_name,location,capacity_units,manager
501,Christophershire Distribution Center,India,599758,Kristy Tyler
502,North Leonardport Distribution Center,United Kingdom,188058,Howard Campbell
503,Portermouth Distribution Center,France,590281,Molly Dickson
504,West Richardhaven Distribution Center,China,363066,Robert Hernandez
505,Woodston Distribution Center,Brazil,559275,Christian Ford
506,Lake Jesseborough Distribution Center,Mexico,345917,Martha Mack
507,New Zachary Distribution Center,Germany,216755,Marisa Conrad
508,Sethberg Distribution Center,Canada,363139,Isaac Chase
509,Williamsfurt Distribution Center,India,300799,
510,New Courtney Distribution Center,Australia,166207,Robert Thomas PhD
511,South Clintonmouth Distribution Center,Mexico,557396,Edward Jones
512,Michaelland Distribution Center,Brazil,295431,Raymond Scott
513,Goodmouth Distribution Center,Brazil,309119,Brenda Martinez
514,Williamsport Distribution Center,China,598464,Scott Stark
515,South Michael Distribution Center,France,547105,Tiffany Brooks
516,Hunterview Distribution Center,Mexico,443699,Wendy Williams
517,Lake Krystalside Distribution Center,Vietnam,561993,Samuel Roberts
518,New Reginald Distribution Center,United Kingdom,329521,James Ford
519,West Stevenside Distribution Center,United Kingdom,292213,Julie Miller
520,South Kaylaborough Distribution Center,Germany,319955,Austin Peterson
521,Lewisfort Distribution Center,Brazil,310614,Jesse Gardner
522,Thomasborough Distribution Center,Vietnam,365765,Andre Burke
523,Brownstad Distribution Center,Vietnam,495564,Veronica Lewis
524,Port Andrew Distribution Center,India,510884,Jenny King
525,North Donald Distribution Center,Brazil,523618,Brad Russo
526,Savagehaven Distribution Center,Japan,455004,Steven White
527,North Pattychester Distribution Center,Mexico,302809,Paul Martin
528,Sherifort Distribution Center,Vietnam,585363,Michael Martin
529,Gomezshire Distribution Center,Japan,346607,Adam Logan
530,North Jennifer Distribution Center,China,447894,Brianna Beck
531,Alexismouth Distribution Center,China,467710,Kathryn Stewart
532,Bakertown Distribution Center,France,576306,Terri Mathews DDS
533,North Jefferyborough Distribution Center,United Kingdom,409551,Joshua Martin
534,Robinsonborough Distribution Center,Australia,580523,Valerie Ray
535,West Lisatown Distribution Center,Germany,479311,Eric Fuentes
536,Lake Victormouth Distribution Center,Japan,379204,Guy Clayton
537,Millsmouth Distribution Center,India,171513,Christopher Patterson
538,New Brooke Distribution Center,Canada,430610,Jane Bruce
539,Waltersville Distribution Center,Mexico,510041,
540,Garciaside Distribution Center,Vietnam,447044,Jeremy Perkins
