customer_id,customer_name,email,country,segment,signup_date
300001,Jason Walker,harnold@example.org,Mexico,Corporate,29-10-2020
300002,Heather Leon,pgutierrez@example.net,Australia,Online,11-12-2024
300003,Todd Casey,joseph44@example.com,DE,Wholesale,02-Aug-24
300004,Terry Johnson,hernandeznicholas@example.net,Australia,,01-12-2024
300005,Frances Haley,zallen@example.org,england,Corporate,06-10-2024
300006,Anthony Frederick,oanderson@example.com,Germany,Online,30-09-2023
300007,Tanner Holmes,thall@example.org,France,Wholesale,20-07-2025
300008,Rachel Cameron,mary25@example.org,Japan,Corporate,09-03-2023
300009,Adam Carrillo,anthonyzimmerman@example.org,United States,Corporate,17-02-2021
300010,Nicholas Lucero,jacob34@example.org,Brazil,Corporate,11-07-2023
300011,Richard Hartman,donna41@example.org,Japan,Online,05-05-2023
300012,Lauren Garcia,hho@example.org,Mexico,Wholesale,20-10-2023
300013,Christopher Jones,roberta36@example.org,Brazil,Online,16-05-2021
300014,Benjamin Chung,clarkrobert@example.com,Germany,Retail,13-02-2023
300015,Christopher Evans,donnawelch@example.org,Vietnam,Corporate,31-10-2023
300016,Gregory Cooley,,Australia,Corporate,02-Apr-21
300017,Alexander Hunt,javierdiaz@example.org,France,,18-08-2021
300018,Bradley Holt,josepholson@example.org,Brazil,Online,23-10-2020
300019,Elizabeth Mcgee,zgraham@example.org,Australia,Wholesale,29-05-2022
300020,Ryan Love,ygarcia@example.net,Brazil,,30-11-2021
300021,Tiffany Freeman,vhenderson@example.com,IND,Online,03-22-2022
300022,Lisa Patterson,nathaniel17@example.org,China,Corporate,28-09-2024
300023,Dawn Ortiz,raymond12@example.com,Germany,Retail,10-02-2025
300024,David Lewis,nathan51@example.org,United States,Wholesale,24-10-2022
300025,Gary Marshall,rachel81@example.com,France,Wholesale,04-04-2022
300026,Daniel Hoffman,berrydebbie@example.net,United Kingdom,Wholesale,30-01-2022
300027,Francisco Gonzalez,rjimenez@example.com,Canada,Wholesale,11-06-2024
300028,Kyle Garza,barbaramitchell@example.net,United States,Online,05-04-2021
300029,Abigail Murray,,Canada,Corporate,31-07-2024
300030,Matthew Jones,gallegosrobert@example.com,IND,Online,03-04-2025
300031,Jennifer Hawkins,troy06@example.com,Mexico,Wholesale,14-01-2022
300032,Samuel Coffey,cameronsharon@example.org,France,Online,23-02-2024
300033,Adam Garcia,michelle63@example.org,Vietnam,Corporate,23-10-2020
300034,Robin Cabrera,villamiranda@example.com,Vietnam,Online,07-02-2021
300035,Anthony Torres,mark96@example.com,Mexico,Online,29-01-2025
300036,Lauren Wilson,michelle96@example.net,Canada,Wholesale,27-02-2024
300037,Joseph Lane,ubray@example.net,Australia,Online,24-Nov-22
300038,Ralph Dawson,angelica33@example.net,China,Online,29-01-2023
300039,Amy Smith,taylorcruz@example.com,Germany,Wholesale,20-01-2021
300040,Kevin Rose,kathleen47@example.net,Mexico,Online,09-03-2021
300041,Suzanne Robinson,paul79@example.net,Germany,Corporate,08-06-2021
300042,Barry Henderson,stephanie91@example.org,Germany,Retail,05-09-2021
300043,Brian Smith,blopez@example.com,Vietnam,Online,20-12-2022
300044,Derek Mcintosh,gomezjason@example.com,France,Corporate,12-22-2023
300045,Amy Nelson,williamspatrick@example.com,Canada,Retail,05-03-2023
300046,Christopher Hill,gstone@example.net,Japan,,20-08-2021
300047,Brian Wilson,johnstonjohn@example.net,Canada,Retail,11-30-2020
300048,Manuel Baldwin,,Canada,Online,03-Mar-21
300049,Kathleen Jackson,michaelroberts@example.net,Australia,Online,13-10-2024
300050,Cody Velez,,Canada,Corporate,07-02-2022
300051,Carol Cook,athomas@example.net,Canada,,07-07-2021
300052,Christopher Baker,jacksonkathleen@example.org,Australia,Wholesale,14-01-2023
300053,Lauren Freeman,thomaswilliams@example.org,Vietnam,Online,20-08-2023
300054,Sara Fox MD,kimberlygarcia@example.net,France,Wholesale,07-02-2023
300055,Gregory Gardner DDS,,IND,Wholesale,05-05-2022
300056,Patricia Vincent,rrodriguez@example.net,Germany,Retail,19-03-2024
300057,William Chase,michaeljohnson@example.net,UK,Corporate,21-Apr-24
300058,Heather Garner,samanthagray@example.org,Brazil,Online,15-05-2024
300059,Meghan Nolan,harcher@example.org,China,Online,28-06-2025
300060,Stacy Myers,rlandry@example.com,India,Online,28-12-2021
300061,Mia Flowers,hamiltonspencer@example.com,Germany,Online,13-08-2021
300062,Kathryn Jennings,hbecker@example.com,Japan,Corporate,02-08-2022
300063,Elizabeth Roberts,alexis03@example.com,China,Wholesale,14-10-2023
300064,John Smith,donna00@example.com,Germany,Wholesale,16-10-2024
300065,Rachel Shaw,stephaniereeves@example.org,Canada,Corporate,09-05-2021
300066,Kevin Miller,antoniofitzpatrick@example.org,england,Retail,23-08-2025
300067,Jenny Rasmussen,orozcosamantha@example.net,United States,Wholesale,21-09-2024
300068,Meghan Morris,feliciagonzalez@example.org,Brazil,Retail,21-03-2022
300069,Eric Evans,ygardner@example.com,Japan,Corporate,30-09-2022
300070,Melissa Gordon,taylor67@example.com,DE,Online,02-22-2021
300071,Thomas Johnson,idavis@example.net,United Kingdom,Retail,21-Jun-25
300072,Lauren Watson,brian62@example.com,United Kingdom,Wholesale,13-03-2025
300073,Phillip Holmes,,india,Online,06-01-2024
300074,Samantha Cunningham,michelle19@example.net,Mexico,Retail,03-14-2021
300075,Meredith Black,rtaylor@example.net,United States,,21-03-2023
300076,Eric Hays,shaffercindy@example.org,Germany,Corporate,12-04-2024
300077,Larry Martinez,wrightdale@example.org,Canada,,28-03-2021
300078,Anthony Martinez,lwebb@example.org,Japan,Online,29-10-2024
300079,Samantha Maldonado,reynoldsdaisy@example.org,Germany,,14-11-2024
300080,Cynthia Hunt,thomasroberts@example.net,Mexico,Corporate,16-05-2021
300081,Holly Hill,gwolfe@example.com,China,Corporate,01-03-2021
300082,Alfred Bryant,tsmith@example.org,China,Wholesale,01-10-2022
300083,Lisa Williams,sydney77@example.com,India,Retail,21-Nov-23
300084,Jonathan Callahan,michaelmccarthy@example.com,Mexico,,16-09-2020
300085,Christian Rios,stephen24@example.net,Australia,Corporate,25-03-2023
300086,Thomas Brewer,mestes@example.net,Vietnam,Online,07-03-2022
300087,Katie Hopkins,david59@example.net,Japan,Online,26-07-2021
300088,Jennifer Williams,jesseortega@example.com,U.S.A.,Corporate,28-05-2022
300089,Peter Zavala,danielgilmore@example.net,Mexico,Corporate,05-02-2025
300090,Jennifer Brown,danny17@example.com,Mexico,Online,15-02-2025
300091,Tammy Morris,ogray@example.net,Mexico,Wholesale,12-09-2023
300092,John Shelton,jamesmartin@example.net,Japan,Online,13-06-2023
300093,Kevin Soto,harrislisa@example.org,Australia,Online,15-09-2024
300094,Joshua Jones,faithrosario@example.net,France,,06-18-2022
300095,Ronnie Hudson MD,michael82@example.org,Australia,Retail,16-11-2023
300096,Shelly Carroll,kimberlyevans@example.org,Brazil,Online,10-11-2022
300097,Joshua Johnson,sandra46@example.net,Australia,Wholesale,27-02-2023
300098,Brooke Roberts,melissafrederick@example.net,United States,Online,15-06-2022
300099,Kimberly Snow,qgiles@example.net,United States,Retail,24-03-2022
300100,Dean Cook,tayloramy@example.net,Japan,Wholesale,24-10-2020
300101,Susan Brown,kjones@example.net,Germany,Retail,24-04-2022
300102,Amanda Zavala,ngeorge@example.org,Australia,Online,06-03-2024
300103,Carl Cummings,,Japan,Retail,06-02-2025
300104,Richard Walter,andrewbrown@example.org,China,Corporate,06-01-2022
300105,Melanie Rojas,xwilliams@example.com,Vietnam,,03-05-2023
300106,Jeffery Taylor,nwilson@example.com,Vietnam,Retail,21-02-2024
300107,Thomas Allen,chapmanjeremy@example.net,France,Online,04-06-2022
300108,Kimberly Williams,,France,,05-06-2024
300109,Christopher Williams,carrie34@example.org,U.S.A.,Online,17-01-2021
300110,Bryan Jones,shawna37@example.net,France,Wholesale,11-09-2023
300111,Thomas Robinson,shelly84@example.net,China,Retail,04-05-2024
300112,Emma Weaver,brownrachel@example.net,United States,,19-11-2021
300113,Mr. Thomas Skinner,kevintran@example.org,China,Retail,01-06-2025
300114,Brenda Spence,dsantos@example.org,Canada,Corporate,11-07-2022
300115,Debra Chapman,margaret10@example.com,Australia,Retail,08-10-2020
300116,Albert Reyes,nwilliams@example.com,India,Online,08-12-2024
300117,Anthony Torres,sharon95@example.com,Australia,Retail,02-08-2021
300118,Nicole Peterson,yglenn@example.net,Brazil,Wholesale,18-09-2024
300119,Renee Tran,michele87@example.com,Vietnam,Online,22-04-2025
300120,Kelly Martin,pmcdonald@example.org,France,Corporate,12-07-2023
300121,Michael Hill,kelseyphillips@example.net,Vietnam,Retail,15-03-2025
300122,Heidi Hopkins,martinezashley@example.com,Vietnam,Corporate,21-08-2022
300123,Jill Smith,owenstammy@example.com,Brazil,Wholesale,04-11-2024
300124,Jennifer Riley,,germany,,08-11-2023
300125,David Buchanan,misty23@example.net,Brazil,Retail,06-06-2025
300126,Mary Hall,lopezwilliam@example.com,United Kingdom,Retail,15-07-2021
300127,Mitchell Brown,theresa05@example.net,Canada,Online,25-07-2023
300128,Hannah Jones,ewilson@example.org,Vietnam,Online,03-04-2024
300129,Sandra Becker,maynancy@example.org,United States,,07-09-2021
300130,Heather Hester,thomas49@example.org,India,Wholesale,15-10-2020
300131,Timothy Buck,rodriguezjason@example.com,United Kingdom,Corporate,19-06-2021
300132,Katie Perkins,shelby69@example.org,U.S.A.,Retail,21-03-2023
300133,Phillip Banks,benjaminvictoria@example.net,Australia,Retail,13-12-2023
300134,Kimberly Barnes,abbottallison@example.org,China,Online,08-03-2023
300135,Kelly Stewart,marycarter@example.org,Germany,,09-13-2023
300136,Vanessa Hall,kaitlin13@example.com,Canada,Retail,23-04-2022
300137,Heidi Bell,melendezdenise@example.net,Australia,Online,30-04-2024
300138,Crystal Carey,sarasanchez@example.com,United Kingdom,Retail,25-10-2021
300139,Lisa Flynn,lee16@example.com,United Kingdom,Retail,13-01-2024
300140,Johnny Keith,rachelwalter@example.org,Australia,,11-03-2023
300141,Ralph Dawson,,Brazil,Retail,01-07-2021
300142,Christopher Jones,wstrong@example.org,Canada,Wholesale,31-10-2024
300143,Michelle Wilson,brittany91@example.net,Australia,Retail,04-09-2022
300144,Heather Cole,,Germany,Wholesale,21-11-2020
300145,Chad White,,Canada,Wholesale,10-02-2022
300146,Jamie Gonzales,shirley13@example.com,France,Corporate,07-07-2022
300147,Joseph Fox,ymitchell@example.com,France,Corporate,17-02-2023
300148,Amanda Landry,russellramirez@example.net,Germany,Corporate,13-06-2024
300149,Christopher Roberts,kgonzales@example.com,United States,Wholesale,28-03-2022
300150,Larry Rodriguez,elizabeththomas@example.org,Australia,Retail,11-05-2025
300151,Caroline George,moyeramber@example.org,Mexico,,05-06-2023
300152,Allison Harris,hdennis@example.org,Mexico,,12-09-2020
300153,Brian Mccarthy,wallaceryan@example.com,China,Retail,26-10-2024
300154,Donald Barnett,linda31@example.com,Mexico,,05-02-2021
300155,Jesse Moss,mannleroy@example.org,India,Online,13-06-2021
300156,Rebecca Stewart,averycourtney@example.org,Vietnam,Online,31-10-2022
300157,Tony Nunez,theodore72@example.net,Vietnam,Corporate,07-05-2021
300158,Mark Davis,aaronjones@example.net,Vietnam,Corporate,24-02-2023
300159,Amanda Watts,pwelch@example.net,China,,21-09-2023
300160,Tiffany Humphrey,nancycontreras@example.com,United States,Wholesale,29-05-2022
300161,Howard Castillo,robinsonsydney@example.com,India,Retail,24-08-2024
300162,David Coleman,stevenflores@example.org,United Kingdom,Wholesale,06-10-2022
300163,Carl Khan,rburke@example.org,China,Corporate,27-05-2022
300164,Daniel Rosales,xbrown@example.com,Japan,Retail,22-10-2020
300165,James Ramos,dgreen@example.com,France,Wholesale,12-21-2021
300166,Mark Williams,kortiz@example.org,Mexico,,03-02-2023
300167,Ashley Donaldson,david80@example.net,China,Retail,06-05-2023
300168,Richard Cook,katie81@example.net,China,Wholesale,08-10-2020
300169,Joseph Galloway,oheath@example.com,Canada,Wholesale,28-11-2020
300170,Erin Lewis,shelbyjohnson@example.org,United States,Corporate,02-09-2024
300171,Kathryn Moody,,DE,Corporate,09-06-2024
300172,Amanda Brady,irios@example.net,Australia,Corporate,28-10-2023
300173,Angela Wagner,vsmith@example.net,Australia,Retail,17-01-2025
300174,Noah Sparks,marievillarreal@example.com,Germany,Online,09-09-2023
300175,Elizabeth Stevens,bakerdiana@example.com,Brazil,Corporate,16-10-2022
300176,Daniel Russell,,UK,Retail,19-07-2022
300177,Monica Bean PhD,chavezbecky@example.org,Mexico,,30-07-2022
300178,Jacob Hart,martin11@example.net,Japan,Wholesale,26-08-2022
300179,Katherine Wright,richardmassey@example.net,United Kingdom,Corporate,07-06-2021
300180,Crystal Saunders,robert52@example.org,Japan,Retail,12-04-2024
300181,Jennifer Smith,karinorton@example.net,U.K.,Wholesale,04-09-2022
300182,Cynthia Murray,vrobertson@example.net,Vietnam,Retail,01-03-2023
300183,Michael Bennett,martinkaitlin@example.org,Germany,Retail,26-01-2021
300184,Ashley Mcclure,zjackson@example.net,China,,26-08-2021
300185,Kimberly Ross,david44@example.net,Japan,Wholesale,06-02-2023
300186,Kristy Martin,alexandra39@example.net,Australia,,11-04-2022
300187,Kaitlyn Clark,sara22@example.net,India,Wholesale,09-07-2022
300188,Evan White,ajones@example.com,China,Corporate,28-03-2024
300189,Brandon Ellis,browntaylor@example.org,United Kingdom,Online,03-03-2024
300190,Sophia Cooper,reillyjoshua@example.com,China,Corporate,30-12-2020
300191,Marcus Powell,ann31@example.net,India,,03-08-2023
300192,Diana Baker,martinezalexa@example.net,Vietnam,Corporate,05-06-2021
300193,Raymond Vargas,tammy97@example.org,India,Wholesale,29-06-2024
300194,Virginia Davis,douglasalvarez@example.org,Canada,Online,03-07-2021
300195,Amy Hunt,ecoleman@example.com,Australia,Wholesale,13-04-2022
300196,Cynthia Long,wmccarthy@example.com,Australia,Corporate,06-03-2022
300197,Blake Jacobs,stephaniedougherty@example.com,Germany,Retail,11-09-2024
300198,Kristina Henry,gina86@example.net,Canada,Retail,21-03-2024
300199,Jacob Owens,jessica39@example.net,Mexico,Retail,28-05-2022
300200,Cheryl Brooks,gonzalezmichael@example.org,United Kingdom,Wholesale,17-01-2025
300201,Brandon Wood,wesley09@example.com,Germany,Retail,10-09-2020
300202,John Williams,joshua09@example.org,United Kingdom,Retail,31-10-2020
300203,Yolanda Chen,vthompson@example.net,India,,24-12-2024
300204,Amanda Johnson,janicethompson@example.org,India,Retail,01-06-2024
300205,Barbara Ramos,edwardsmichaela@example.com,United Kingdom,Retail,29-01-2021
300206,Lucas Smith,rachael29@example.net,India,Online,31-07-2025
300207,Teresa Powell,brownmandy@example.net,Vietnam,Retail,21-05-2025
300208,Christopher Williams,haleyortiz@example.net,Vietnam,Retail,27-05-2021
300209,April Hill,david79@example.net,United Kingdom,Online,25-05-2024
300210,Anita Hardin,jessicalopez@example.net,Brazil,Retail,04-02-2021
300211,Christopher Smith,steven34@example.net,China,Online,19-10-2023
300212,Cheryl Campos,lancegray@example.com,Australia,Online,16-11-2023
300213,Ethan Perez,joshuagonzalez@example.com,U.K.,Retail,22-07-2021
300214,Brandon Kelly,michael87@example.net,Canada,Retail,17-12-2021
300215,Travis Richards,,China,Corporate,06-02-2024
300216,Melanie Roberts,holly88@example.net,Brazil,Online,01-11-2022
300217,Raymond Scott,hgreen@example.net,Australia,Corporate,08-20-2024
300218,Charles Willis,anne90@example.com,Brazil,Retail,16-12-2023
300219,Sheila Smith,valvarez@example.net,Australia,Retail,03-03-2024
300220,Hunter Martin,,Japan,,06-03-2025
300221,Jessica Ross,johnnybrooks@example.com,Australia,Online,12-12-2022
300222,Andrew Hickman,,Australia,Wholesale,29-01-2023
300223,Derrick Ray,martingarrett@example.com,United States,Online,15-03-2021
300224,Terri Gonzalez,davidcook@example.org,Canada,Retail,04-02-2025
300225,Ralph Solis,dfoster@example.org,Vietnam,Corporate,07-07-2025
300226,Christopher Parker,joelharris@example.org,Canada,Wholesale,16-12-2023
300227,Justin Rowe,woodsmelvin@example.com,China,Retail,14-Apr-24
300228,Daniel Kennedy,tguerra@example.org,China,Online,31-05-2023
300229,Carl Hines,ricardomurphy@example.com,Germany,Wholesale,24-06-2024
300230,Jessica Long,reedelizabeth@example.net,Canada,Retail,05-10-2024
300231,Cassandra Young,matthew09@example.net,United Kingdom,,19-10-2020
300232,Maria Taylor,bradleyturner@example.org,Vietnam,Online,03-06-2024
300233,Jessica Mitchell,eleonard@example.org,China,Retail,13-05-2022
300234,Cassie Sanders,marshallchristopher@example.net,Brazil,Wholesale,20-12-2021
300235,Jennifer Roman,luisandrews@example.com,Mexico,,29-Apr-24
300236,Matthew Santiago,twise@example.com,China,Retail,05-02-2024
300237,Lindsey Lang,xshaw@example.com,Brazil,Wholesale,16-12-2021
300238,Valerie Rodriguez,tinaschmidt@example.com,Mexico,Corporate,23-03-2024
300239,Adam Vaughan,james97@example.com,Vietnam,Retail,06-01-2025
300240,Bryan Burns,brendan95@example.com,China,Wholesale,27-11-2020
300241,Pamela Johnson,guy56@example.org,Brazil,Online,17-10-2022
300242,Andrew Rodriguez,schmidtrandy@example.org,United Kingdom,Wholesale,24-11-2022
300243,Nicholas Schultz,worozco@example.com,Mexico,Corporate,31-01-2021
300244,Roger Conley,uwilliams@example.com,Canada,,10-02-2024
300245,Misty Burnett,reyestina@example.org,United Kingdom,Wholesale,11-08-2020
300246,Elizabeth Morales,stephaniescott@example.net,United States,Retail,09-05-2022
300247,Thomas Sanford,ashleycooley@example.net,Australia,Corporate,18-05-2024
300248,Dana Lindsey,ashley36@example.com,France,,27-03-2023
300249,Destiny Powers,rbrowning@example.com,Canada,Retail,25-05-2024
300250,Albert Perry,joshuaford@example.net,United States,,10-Jan-22
300251,Albert Nguyen,carrjessica@example.net,India,Retail,03-04-2022
300252,Madison Murphy,jalvarez@example.org,Japan,Corporate,19-10-2024
300253,Rodney Hernandez,sclark@example.org,Australia,Corporate,19-05-2022
300254,Andrew Phelps,welchanna@example.com,Vietnam,Online,11-01-2024
300255,Kendra Torres,shannon70@example.org,United states,,01-29-2021
300256,Guy Reynolds,potterjustin@example.net,China,Corporate,15-10-2023
300257,Thomas Anderson,davisjeffery@example.org,United States,Corporate,13-02-2023
300258,Christopher Waters,wpierce@example.org,Australia,Wholesale,09-Jul-23
300259,Emma Cox,beckgloria@example.net,Brazil,Retail,03-10-2022
300260,Joseph Myers,,Mexico,Online,21-Jun-24
300261,Thomas Thompson,aaron57@example.net,United States,Online,17-10-2024
300262,Janet Delgado,ojenkins@example.org,France,Retail,11-07-2021
300263,Manuel Duarte,udougherty@example.net,Mexico,Retail,05-10-2023
300264,Kaitlyn Davis,andrew96@example.net,United States,Corporate,30-11-2021
300265,Thomas Ellis,gregorygiles@example.org,United States,Retail,22-03-2023
300266,Steven Clark,rstevens@example.net,United Kingdom,Online,12-04-2022
300267,Christopher Murray,laramary@example.org,France,Wholesale,19-11-2022
300268,Andrea Goodman,ecamacho@example.com,Vietnam,Corporate,21-11-2021
300269,David Baldwin,baldwincatherine@example.net,India,Online,06-01-2021
300270,Ronald Brown,uclayton@example.org,United Kingdom,Corporate,28-03-2024
300271,Kayla Banks,gcobb@example.org,Germany,Wholesale,25-06-2022
300272,Lauren Moody,michaeldouglas@example.org,Vietnam,Retail,11-24-2024
300273,Christine Davis,ellisjenna@example.org,Mexico,,25-03-2025
300274,Michael Rivera,klyons@example.com,Australia,Retail,13-06-2024
300275,Brittany Roberts,nicoleelliott@example.net,India,Corporate,21-08-2023
300276,Brooke Walters,rmarquez@example.com,India,Corporate,13-02-2022
300277,Betty Lawson,oscott@example.org,France,Online,09-06-2021
300278,Brittany Smith,jennifer86@example.com,Australia,Corporate,12-01-2024
300279,Gregory Moore,alexandra67@example.net,Brazil,Wholesale,04-10-2023
300280,Casey Prince,barnettcalvin@example.org,Canada,Wholesale,05-07-2021
300281,Donald Strickland,santosmichael@example.com,UK,Wholesale,18-03-2022
300282,Alexandria Francis,judithcox@example.org,Australia,Retail,06-07-2023
300283,Gary Jones,wallerbrian@example.net,Canada,Corporate,28-08-2022
300284,Robert White,jeremylove@example.org,France,Retail,12-04-2023
300285,Kristen Davis,jessicalowery@example.org,Germany,Wholesale,12-11-2020
300286,Darren Willis,imarshall@example.org,Vietnam,Online,12-04-2023
300287,Christina Wilson,alvarezcory@example.net,Canada,Retail,05-04-2022
300288,Mr. Kevin Callahan,cortezscott@example.net,United States,Retail,27-09-2021
300289,Lisa Bryant,kingrichard@example.com,Australia,Online,21-08-2021
300290,Jordan Palmer,joseph83@example.com,Brazil,Wholesale,16-02-2023
300291,Ellen Alexander,tonyflores@example.net,Canada,Corporate,15-01-2022
300292,Austin Reynolds,cody75@example.net,germany,Retail,07-01-2023
300293,Cheryl Rodriguez,jasonshaw@example.com,India,Online,06-02-2024
300294,Michael Pennington,ashleymoore@example.org,UK,Corporate,30-06-2024
300295,Christopher Moore,markblack@example.com,China,Online,16-08-2021
300296,Penny Adams,,United States,Wholesale,07-Dec-23
300297,Sandra Stewart,ronald66@example.org,France,,13-Mar-22
300298,Wayne Gomez,theresawang@example.org,UK,Online,22-06-2024
300299,Matthew Scott,andrew66@example.com,United States,Retail,03-10-2024
300300,Rebecca Williamson,ggates@example.org,China,Retail,16-06-2023
300301,John Griffith,ccrane@example.net,Japan,Wholesale,17-11-2021
300302,Michelle Wright,dbrown@example.net,Australia,Corporate,13-08-2022
300303,Jessica Mitchell,,Brazil,Online,18-05-2022
